datetime,open,close,high,low,volume,成交额,均价
2025-12-22 10:15:00,0.0,1410.5,1411.0,1410.5,35,4937432.0,1410.367
2025-12-22 10:16:00,0.0,1410.99,1411.0,1410.5,134,18902817.0,1410.372
2025-12-22 10:17:00,0.0,1410.58,1410.96,1410.5,40,5642338.0,1410.374
2025-12-22 10:18:00,0.0,1410.77,1411.0,1410.48,87,12273559.0,1410.378
2025-12-22 10:19:00,0.0,1410.99,1410.99,1410.56,94,13261188.0,1410.383
2025-12-22 10:20:00,0.0,1410.89,1411.0,1410.56,56,7900264.0,1410.386
2025-12-22 10:21:00,0.0,1410.99,1410.99,1410.5,125,17632997.0,1410.39
2025-12-22 10:22:00,0.0,1410.89,1411.14,1410.63,110,15520951.0,1410.399
2025-12-22 10:23:00,0.0,1410.64,1410.98,1410.63,49,6912651.0,1410.401
2025-12-22 10:24:00,0.0,1410.6,1410.9,1410.6,35,4937194.0,1410.402
2025-12-22 10:25:00,0.0,1411.38,1411.4,1410.63,86,12133469.0,1410.407
2025-12-22 10:26:00,0.0,1411.0,1411.4,1410.68,78,11006663.0,1410.414
2025-12-22 10:27:00,0.0,1411.18,1411.5,1411.0,60,8466207.0,1410.419
2025-12-22 10:28:00,0.0,1411.18,1411.5,1411.18,50,7057005.0,1410.425
2025-12-22 10:29:00,0.0,1411.08,1411.38,1411.08,45,6350309.0,1410.429
2025-12-22 10:30:00,0.0,1411.45,1411.45,1410.68,86,12150565.0,1410.437
2025-12-22 10:31:00,0.0,1412.0,1412.5,1411.56,116,16402360.0,1410.458
2025-12-22 10:32:00,0.0,1412.39,1412.39,1411.95,41,5718773.0,1410.466
2025-12-22 10:33:00,0.0,1412.12,1412.49,1412.09,43,6073348.0,1410.476
2025-12-22 10:34:00,0.0,1412.11,1412.11,1412.04,38,5365944.0,1410.483
2025-12-22 10:35:00,0.0,1412.9,1412.9,1412.1,130,18362800.0,1410.514
2025-12-22 10:36:00,0.0,1412.86,1412.98,1412.67,46,6499127.0,1410.527
2025-12-22 10:37:00,0.0,1412.56,1412.87,1412.55,69,9748478.0,1410.545
2025-12-22 10:38:00,0.0,1412.56,1412.87,1412.56,52,7346495.0,1410.558
2025-12-22 10:39:00,0.0,1412.76,1412.86,1412.45,67,9465625.0,1410.575
2025-12-22 10:40:00,0.0,1413.1,1413.35,1412.86,147,20773143.0,1410.614
2025-12-22 10:41:00,0.0,1413.5,1413.5,1413.09,57,8056275.0,1410.632
2025-12-22 10:42:00,0.0,1413.0,1413.36,1412.77,88,12434423.0,1410.655
2025-12-22 10:43:00,0.0,1413.1,1413.49,1413.01,43,6076617.0,1410.667
2025-12-22 10:44:00,0.0,1412.1,1413.25,1412.1,39,5509480.0,1410.675
2025-12-22 10:45:00,0.0,1413.0,1413.0,1412.12,72,10171318.0,1410.691
2025-12-22 10:46:00,0.0,1412.98,1413.02,1412.21,27,3814471.0,1410.697
2025-12-22 10:47:00,0.0,1412.99,1413.0,1412.2,15,2119028.0,1410.7
2025-12-22 10:48:00,0.0,1412.18,1413.0,1412.16,51,7204895.0,1410.711
2025-12-22 10:49:00,0.0,1413.2,1413.44,1413.0,43,6076404.0,1410.722
2025-12-22 10:50:00,0.0,1413.21,1413.22,1412.15,45,6357731.0,1410.732
2025-12-22 10:51:00,0.0,1412.99,1413.0,1412.16,20,2825515.0,1410.737
2025-12-22 10:52:00,0.0,1412.99,1413.0,1412.5,25,3532168.0,1410.742
2025-12-22 10:53:00,0.0,1412.5,1413.09,1412.5,57,8053507.0,1410.755
2025-12-22 10:54:00,0.0,1412.98,1412.99,1412.5,19,2684245.0,1410.759
2025-12-22 10:55:00,0.0,1413.0,1413.0,1412.63,24,3390950.0,1410.765
2025-12-22 10:56:00,0.0,1413.45,1413.46,1413.0,60,8479855.0,1410.781
2025-12-22 10:57:00,0.0,1412.98,1413.24,1412.97,37,5228364.0,1410.789
2025-12-22 10:58:00,0.0,1413.02,1413.24,1412.98,30,4239389.0,1410.797
2025-12-22 10:59:00,0.0,1413.02,1413.38,1412.98,37,5228514.0,1410.805
2025-12-22 11:00:00,0.0,1412.62,1413.01,1412.62,42,5933815.0,1410.814
2025-12-22 11:01:00,0.0,1412.62,1412.99,1412.62,37,5227113.0,1410.821
